"team_name","team_id"
"St. Bonaventure","st-bonaventure"
"St. John's","st-johns-ny"
"Stanford","stanford"
"Stephen F. Austin","stephen-f-austin"
"Stony Brook","stony-brook"
"Syracuse","syracuse"
"Temple","temple"
"Tennessee","tennessee"
"Texas","texas"
"Texas A&M","texas-am"
"Texas Christian","texas-christian"
"Texas-San Antonio","texas-san-antonio"
"Texas Southern","texas-southern"
"Texas Tech","texas-tech"
"Troy","troy"
"Tulsa","tulsa"
"UAB","alabama-birmingham"
"UC Davis","california-davis"
"UC Irvine","california-irvine"
"UC Santa Barbara","california-santa-barbara"
"UCF","central-florida"
"UCLA","ucla"
"UMBC","maryland-baltimore-county"
"UNC Asheville","north-carolina-asheville"
"UNC Greensboro","north-carolina-greensboro"
"UNC Wilmington","north-carolina-wilmington"
"UNLV","nevada-las-vegas"
"USC","southern-california"
"Utah","utah"
"Utah State","utah-state"
"Valparaiso","valparaiso"
"Vanderbilt","vanderbilt"
"VCU","virginia-commonwealth"
"Vermont","vermont"
"Villanova","villanova"
"Virginia","virginia"
"Virginia Tech","virginia-tech"
"Wake Forest","wake-forest"
"Washington","washington"
"Weber State","weber-state"
"West Virginia","west-virginia"
"Western Kentucky","western-kentucky"
"Western Michigan","western-michigan"
"Wichita State","wichita-state"
"Winthrop","winthrop"
"Wisconsin","wisconsin"
"Wofford","wofford"
"Wright State","wright-state"
"Wyoming","wyoming"
"Xavier","xavier"
"Yale","yale"
